ts,dpid,opcode,src_ip,dst_ip,src_mac,dst_mac,src_ip_oct,dst_ip_oct,src_mac_b,dst_mac_b,is_request,is_reply,is_gratuitous,dst_mac_zero,req_rate_1s,mac_change_count,label
1766131523.0451386,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:03,00:00:00:00:00:00,1,2,3,0,1,0,0,1,1,0,attack
1766131523.0460663,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:03,2,1,2,3,0,1,0,0,0,0,attack
1766131524.0453823,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:03,00:00:00:00:00:00,1,2,3,0,1,0,0,1,1,0,attack
1766131524.0465307,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:03,2,1,2,3,0,1,0,0,0,0,attack
1766131525.0465488,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:03,00:00:00:00:00:00,1,2,3,0,1,0,0,1,1,0,attack
1766131525.0477931,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:03,2,1,2,3,0,1,0,0,0,0,attack
1766131526.046769,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:03,00:00:00:00:00:00,1,2,3,0,1,0,0,1,1,0,attack
1766131526.047466,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:03,2,1,2,3,0,1,0,0,0,0,attack
1766131527.0486236,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:03,00:00:00:00:00:00,1,2,3,0,1,0,0,1,1,0,attack
1766131527.0500867,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:03,2,1,2,3,0,1,0,0,0,0,attack
1766131528.049525,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:03,00:00:00:00:00:00,1,2,3,0,1,0,0,1,1,0,attack
1766131528.0511014,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:03,2,1,2,3,0,1,0,0,0,0,attack
1766131529.0513687,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:03,00:00:00:00:00:00,1,2,3,0,1,0,0,1,1,0,attack
1766131529.0533338,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:03,2,1,2,3,0,1,0,0,0,0,attack
1766131530.0513182,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:03,00:00:00:00:00:00,1,2,3,0,1,0,0,1,2,0,attack
1766131530.052547,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:03,2,1,2,3,0,1,0,0,0,0,attack
1766131531.0525322,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:03,00:00:00:00:00:00,1,2,3,0,1,0,0,1,1,0,attack
1766131531.0538156,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:03,2,1,2,3,0,1,0,0,0,0,attack
1766131532.0531907,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:03,00:00:00:00:00:00,1,2,3,0,1,0,0,1,1,0,attack
1766131532.0544658,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:03,2,1,2,3,0,1,0,0,0,0,attack
1766131546.5466723,1,1,10.0.0.2,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,2,1,3,0,1,0,0,1,1,1,attack
1766131546.5479217,1,2,10.0.0.1,10.0.0.2,00:00:00:00:00:01,00:00:00:00:00:03,1,2,1,3,0,1,0,0,0,1,attack
1766131547.546909,1,1,10.0.0.2,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,2,1,3,0,1,0,0,1,1,1,attack
1766131547.5475373,1,2,10.0.0.1,10.0.0.2,00:00:00:00:00:01,00:00:00:00:00:03,1,2,1,3,0,1,0,0,0,1,attack
1766131548.5478919,1,1,10.0.0.2,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,2,1,3,0,1,0,0,1,1,1,attack
1766131548.5491376,1,2,10.0.0.1,10.0.0.2,00:00:00:00:00:01,00:00:00:00:00:03,1,2,1,3,0,1,0,0,0,1,attack
1766131549.5496826,1,1,10.0.0.2,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,2,1,3,0,1,0,0,1,1,1,attack
1766131549.5513976,1,2,10.0.0.1,10.0.0.2,00:00:00:00:00:01,00:00:00:00:00:03,1,2,1,3,0,1,0,0,0,1,attack
1766131550.5504494,1,1,10.0.0.2,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,2,1,3,0,1,0,0,1,1,1,attack
1766131550.5518136,1,2,10.0.0.1,10.0.0.2,00:00:00:00:00:01,00:00:00:00:00:03,1,2,1,3,0,1,0,0,0,1,attack
1766131551.552213,1,1,10.0.0.2,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:00,2,1,3,0,1,0,0,1,1,1,attack
