ts,dpid,opcode,src_ip,dst_ip,src_mac,dst_mac,src_ip_oct,dst_ip_oct,src_mac_b,dst_mac_b,is_request,is_reply,is_gratuitous,dst_mac_zero,req_rate_1s,mac_change_count,label
1766132974.4666083,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:01,00:00:00:00:00:00,1,2,1,0,1,0,0,1,1,0,benign
1766132974.4676807,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,2,1,2,1,0,1,0,0,0,0,benign
1766132975.467016,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:01,00:00:00:00:00:00,1,2,1,0,1,0,0,1,1,0,benign
1766132975.4678562,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,2,1,2,1,0,1,0,0,0,0,benign
1766132976.4691317,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:01,00:00:00:00:00:00,1,2,1,0,1,0,0,1,1,0,benign
1766132976.4723747,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,2,1,2,1,0,1,0,0,0,0,benign
1766132977.469526,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:01,00:00:00:00:00:00,1,2,1,0,1,0,0,1,1,0,benign
1766132977.4712026,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,2,1,2,1,0,1,0,0,0,0,benign
1766132978.4709492,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:01,00:00:00:00:00:00,1,2,1,0,1,0,0,1,1,0,benign
1766132978.4722676,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,2,1,2,1,0,1,0,0,0,0,benign
1766132979.4714022,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:01,00:00:00:00:00:00,1,2,1,0,1,0,0,1,1,0,benign
1766132979.4728148,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,2,1,2,1,0,1,0,0,0,0,benign
1766132980.471696,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:01,00:00:00:00:00:00,1,2,1,0,1,0,0,1,1,0,benign
1766132980.4722424,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,2,1,2,1,0,1,0,0,0,0,benign
1766132981.473258,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:01,00:00:00:00:00:00,1,2,1,0,1,0,0,1,1,0,benign
1766132981.4745142,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,2,1,2,1,0,1,0,0,0,0,benign
1766132982.4736984,1,1,10.0.0.1,10.0.0.2,00:00:00:00:00:01,00:00:00:00:00:00,1,2,1,0,1,0,0,1,1,0,benign
1766132982.4742527,1,2,10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,2,1,2,1,0,1,0,0,0,0,benign
